20,x20,"Sam_Wilson","2024-11-14",950,"Bank Transfer",x2,1,"Refund approved"
19,x19,"Rita_V","2024-11-15",145,"PayPal",1,1,"Completed transaction"
18,x18,"Quinn_S","2024-11-16",200.200000,"Credit Card",1,1,"Processed payment"
17,x17,"Paul_Q","2024-11-17",x5,"Debit Card",x2,0,"Refund requested"
16,x16,"Oliver_P","2024-11-18",1000,"Cash",1,1,"Payment accepted"
15,x15,"Nina_O","2024-11-19",125.750000,"PayPal",x2,1,NULL
14,x14,"Maya_R","2024-11-20",399.990000,"Debit Card",1,x2,"Failed payment"
13,x13,"Liam_Johnson","2024-11-21",300,"Credit Card",x2,1,"Refund issued"
12,x12,"Kevin_F","2024-11-22",600.550000,"Cash",1,0,"Transaction pending"
11,x11,"Jake_L","2024-11-23",12.300000,"PayPal",1,1,"Purchase of goods"
10,x10,"Isla_Davis","2024-11-24",800.650000,"Bank Transfer",1,1,"Order completed"
9,x9,"Henry_Williams","2024-11-25",500,"Credit Card",1,x2,"Transaction cancelled"
8,x8,"Grace_Taylor","2024-11-26",125.400000,"Cash",x2,1,"Refund completed"
7,x7,"Frank_Jones","2024-11-27",2300,"PayPal",1,0,"Pending verification"
6,x6,"Eva_Smith","2024-11-28",0.990000,"Debit Card",1,1,"Purchase of a pen"
5,x5,"Diana_K","2024-11-29",750.200000,"Credit Card",1,1,NULL
4,x4,"Charlie_X","2024-11-30",99.990000,"Cash",1,x2,"Payment failed"
3,x3,"Bob_456","2024-12-01",500.750000,"Bank Transfer",x2,1,"Refund processed"
2,x2,"Alice_Wood","2024-12-02",250,"PayPal",1,0,"Payment pending"
1,1,"John_Doe123","2024-12-03",100.500000,"Credit Card",1,1,"First purchase"
